Country Name,Country Code,Year,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Cereal production (metric tons),"Children out of school, primary","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Exports of goods and services (% of GDP),GDP per capita (current US$),Gini index,"Inflation, consumer prices (annual %)","Population, total","School enrollment, secondary (% gross)","Service exports (BoP, current US$)","Service imports (BoP, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
Belize,BLZ,2021,82.8,97.7,,136612.0,2670.0,2.90787975011217,6.83069476656247,5.38392016090023,47.7370845469005,6122.61158580079,,3.23563659237071,395346.0,88.7403106689453,620868925.285371,293363527.983557,10.322
Belize,BLZ,2022,82.5,98.6,,146715.0,4353.0,2.99527917955396,6.98634640674557,5.49907186100967,53.2722099272842,7068.45478269722,,6.27689319447544,402733.0,86.9924087524414,851316441.184893,349935270.860169,8.763
Belize,BLZ,2023,,,,,5716.0,3.02978352009725,7.04316324524699,5.53658108661325,55.292084712327,7459.99815132837,,4.38984017487675,411106.0,83.3849182128906,1048000701.14133,307792287.251134,8.267
Bolivia,BOL,2000,63.2,70.0,40.7,1244321.76,1029.0,1.05124714763887,2.77544225860726,2.05705896600969,18.2747449737713,975.777060358751,61.6,4.60822998872598,8606326.0,72.7576370239258,330932000.0,467680000.0,2.447
Bolivia,BOL,2001,64.4,69.3,40.7,1324781.0,3130.0,1.50173037290508,3.0495080338954,2.40638845700431,19.972149230267,930.168227214313,57.4,1.58965377879568,8752736.0,75.7862701416016,332040844.082,399443800.0,2.636
Bolivia,BOL,2002,65.2,64.0,40.7,1315565.21,3118.0,2.14411476017156,6.65781581258331,4.78534472992853,21.6344550841802,888.221328974352,59.3,0.92825885161107,8900355.0,80.6306991577148,370970703.156367,433295000.0,2.613
Bolivia,BOL,2003,66.4,72.3,40.7,1462502.0,5282.0,1.83905575645194,6.85376515264874,4.7740222052365,25.6007344519017,893.013760211149,,3.33727499671534,9050700.0,83.4697265625,468545313.986,550740000.0,2.664
Bolivia,BOL,2004,67.4,75.9,40.7,1255985.0,8518.0,2.15496394720828,7.0856969886731,5.04119318722688,31.1383905185998,953.191893246277,55.0,4.43738080101725,9204287.0,86.3809967041016,517758635.338,606221071.0,2.622
Bolivia,BOL,2005,68.8,68.3,40.7,1659795.0,7184.0,2.99843466057324,7.61899664506219,5.70325290587222,35.5481429306567,1020.12326200737,58.5,5.39323106890663,9360754.0,87.4255523681641,657166440.36676,681954426.19,2.603
Bolivia,BOL,2006,70.1,76.2,40.7,1865967.0,6965.0,2.18238668297779,6.66682473602417,4.80749656904809,41.771714268103,1202.71150446327,56.7,4.28239604802561,9521689.0,86.5906295776367,687399685.94,824794485.0,2.577
Bolivia,BOL,2007,71.6,80.2,43.365,1733466.0,6470.0,3.32741891948666,7.58613042694863,5.82034507814429,41.7956567530236,1354.54905949929,54.5,8.70560923578869,9685960.0,86.0495986938477,691908732.930005,896731585.55,2.616
Bolivia,BOL,2015,82.35,91.5,36.136,2934919.0,155958.0,2.52590105516065,5.94636965651805,4.51700235953129,30.8682960342915,2996.01289804214,46.7,4.05961041135645,11014705.0,91.7968215942383,1243394801.36306,2835251387.9661,3.111
Bolivia,BOL,2016,83.5,91.8,36.136,2660808.0,145719.0,2.16063127807031,6.37364996301077,4.60907901725321,24.4880055287529,3035.8734778704,45.2,3.62321431764138,11180020.0,91.8639373779297,1244740246.41452,2857927957.17761,3.498
Bolivia,BOL,2017,84.6,91.8,36.136,2278993.69,125129.0,2.48601490674696,7.46209189679316,5.33370107391742,24.9041443556458,3306.30301176558,44.6,2.8227580554717,11344587.0,90.6840209960938,1454951845.50222,3081140402.429,3.655
Bolivia,BOL,2018,85.6,92.8,36.136,3267425.32,101618.0,2.51539878871731,6.84507959730847,4.93455437352896,25.9887950657509,3500.72642189371,42.6,2.27205987230155,11508368.0,90.0090026855469,1458805538.29214,3089472122.59663,3.519
